name,prompt,negative_prompt,detailed_prompt,very_detailed_prompt
ads-corporate,"Corporate branding style {prompt} . Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","noisy, blurry, grungy, sloppy, cluttered, disorganized","A corporate branding style illustration of an {prompt}, featuring a professional, clean, modern, sleek, minimalist, business-oriented design, highly detailed for corporate appeal.","Imagine a corporate branding style illustration of an {prompt}, where professionalism meets sleek, modern design. The {prompt} is depicted in a clean, minimalist style that speaks to its business-oriented purpose. The colors are chosen for their corporate appeal, conveying trust, efficiency, and sophistication. Every element in the image, from the typography to the layout, is designed to communicate a sense of reliability and expertise. The {prompt} itself is rendered in high detail, emphasizing its quality and functionality. This style is not just about presenting a product; it's about branding it in a way that resonates with the corporate world, making it an emblem of professional excellence."
ads-fashion editorial,"Fashion editorial style {prompt} . High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","outdated, blurry, noisy, unattractive, sloppy","A fashion editorial style portrayal of an {prompt}, high fashion, trendy, stylish, typical of editorial magazine style, professional and highly detailed.","Envision a fashion editorial style portrayal of an {prompt}, where high fashion meets trendsetting design. The {prompt}, perhaps a piece of clothing or an accessory, is captured in a way that's both stylish and edgy, embodying the essence of contemporary fashion. The image is highly detailed, highlighting textures, colors, and the craftsmanship of the {prompt}. The background and lighting are arranged to complement the fashion theme, adding an editorial feel that one might find in a high-end fashion magazine. This style goes beyond mere representation, immersing the {prompt} in the glamorous world of fashion, making it not just an item but a fashion statement."
ads-food photography,"Food photography style {prompt} . Appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry","A food photography style image of an {prompt}, appetizing, professional, culinary focused, high-resolution, commercial, and highly detailed, ideal for culinary advertising.","Picture a food photography style image of an {prompt}, where culinary artistry is captured in its most appetizing form. The {prompt}, likely a dish or ingredient, is showcased in a manner that highlights its colors, textures, and inherent deliciousness. The lighting is carefully crafted to enhance the {prompt}'s appeal, making it look fresh, vibrant, and irresistible. The composition is thoughtful, balancing the {prompt} with complementary elements that suggest taste and quality. This style is more than just photographing food; it's about creating a visual feast that tempts the palate, inviting the viewer to savor the image with their eyes."
ads-luxury,"Luxury product style {prompt} . Elegant, sophisticated, high-end, luxurious, professional, highly detailed","cheap, noisy, blurry, unattractive, amateurish","A luxury product style image of an {prompt}, elegant, sophisticated, high-end, luxurious, professional, and highly detailed, capturing the essence of luxury.","Imagine a luxury product style image of an {prompt}, where elegance and sophistication are conveyed through every detail. The {prompt}, perhaps a high-end accessory or piece of jewelry, is portrayed in a manner that exudes luxury and exclusivity. The colors are rich and sumptuous, and the lighting is designed to cast the {prompt} in the most flattering, opulent light. The composition is regal and refined, enhancing the {prompt}'s luxurious appeal. This style is about showcasing the {prompt} not just as a product, but as a symbol of luxury, a coveted item that defines elegance and prestige."
ads-real estate,"Real estate photography style {prompt} . Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","dark, blurry, unappealing, noisy, unprofessional","A real estate photography style image of an {prompt}, professional, inviting, well-lit, high-resolution, property-focused, commercial, and highly detailed, ideal for real estate marketing.","Visualize a real estate photography style image of an {prompt}, where the essence of inviting, luxurious living spaces is brought to life. The {prompt}, perhaps a property or an interior space, is captured with professional lighting that highlights its best features, making it appear warm and welcoming. The high-resolution image showcases the property's details, from the layout to the texture of the materials, conveying a sense of quality and desirability. The composition is carefully arranged to present the {prompt} in a way that is both visually appealing and informative, providing a glimpse into the potential lifestyle it offers. This style is not just about capturing a space; it's about selling a dream home, a place where life can unfold in comfort and style."
ads-retail,"Retail packaging style {prompt} . Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed","noisy, blurry, amateurish, sloppy, unattractive","A retail packaging style design for an {prompt}, vibrant, enticing, commercial, product-focused, eye-catching, professional, and highly detailed, perfect for retail display.","Envision a retail packaging style design for an {prompt}, where the art of commercial appeal meets vibrant and enticing presentation. The {prompt}, likely a consumer product, is packaged in a way that grabs attention and sparks interest. The design is colorful and eye-catching, making the {prompt} stand out on the retail shelf. The packaging conveys key information about the product in an engaging manner, using fonts and graphics that are both appealing and easy to understand. This style is about more than just packaging; it's about creating a visual hook that draws the consumer in, making the product not just noticed but desired. It's a blend of marketing savvy and artistic design, resulting in a package that tells a story, sells a product, and defines a brand."
artstyle-abstract,"abstract style {prompt} . non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","realistic, photographic, figurative, concrete","An abstract style artwork of an {prompt}, non-representational, focusing on colors and shapes, expressing feelings, imaginative, and highly detailed.","Picture an abstract style artwork of an {prompt}, where the focus is on conveying emotions and ideas through colors and shapes rather than literal representation. The {prompt} is reimagined in a non-representational form, allowing for a more imaginative and emotional interpretation. The use of color is bold and expressive, creating a visual language that speaks to the viewer's senses. The composition is free-form and dynamic, breaking away from traditional constraints to explore new artistic possibilities. This style is about pushing boundaries and challenging perceptions, turning the {prompt} into a canvas for creative expression. It's not just an image; it's an emotional journey, a visual exploration of abstract art that invites the viewer to find their own meaning and connection."
artstyle-abstract expressionism,"abstract expressionist painting {prompt} . energetic brushwork, bold colors, abstract forms, expressive, emotional","realistic, photorealistic, low contrast, plain, simple, monochrome","An abstract expressionist painting of an {prompt}, featuring energetic brushwork, bold colors, abstract forms, expressive, and emotional.","Envision an abstract expressionist painting of an {prompt}, where the raw, emotional energy of the artist is translated into bold colors and energetic brushwork. The {prompt} is not depicted in its literal form but is instead reinterpreted through abstract shapes and forms that capture its essence. The colors are vivid and impactful, chosen to evoke specific emotions and reactions. The brushwork is loose and expressive, adding a sense of movement and spontaneity to the artwork. This style is about more than just visual representation; it's about conveying a mood, an emotion, an experience. The {prompt} becomes a part of a larger narrative, one that is open to interpretation and deeply personal to both the artist and the viewer. It's a style that celebrates the power of expression and the beauty of abstraction."
artstyle-art deco,"Art Deco style {prompt} . geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist","An Art Deco style depiction of an {prompt}, geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, and detailed.","Imagine an Art Deco style depiction of an {prompt}, where the glamour and opulence of the 1920s and 1930s are captured in geometric elegance. The {prompt} is adorned with bold, symmetrical patterns and luxurious, ornate details. The colors are rich and vibrant, evoking the lavishness of the era. Gold, silver, and jewel tones are prominent, accentuating the {prompt}'s decorative elements. The composition is sleek and streamlined, reflecting the modernist influences of the period. This style isn't just a nod to history; it's a celebration of an era known for its bold artistic expression and innovative design, transforming the {prompt} into a piece of timeless elegance and sophistication."
artstyle-art nouveau,"Art Nouveau style {prompt} . elegant, decorative, curvilinear forms, nature-inspired, ornate, detailed","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist","An Art Nouveau style artwork of an {prompt}, elegant, decorative, curvilinear forms, nature-inspired, ornate, and detailed.","Envision an Art Nouveau style artwork of an {prompt}, where the graceful, flowing lines and natural forms create an enchanting, ethereal aesthetic. The {prompt} is intertwined with organic motifs, such as leaves, flowers, and vines, making it part of a harmonious, nature-inspired composition. The colors are soft and muted, with an emphasis on curved lines and elegant, decorative details. The artwork has a dreamy, romantic quality, capturing the whimsical essence of the Art Nouveau movement. This style is about more than beauty; it's about creating a visual symphony of nature and art, where the {prompt} is not just depicted but celebrated in a dance of organic elegance and artistic flair."
artstyle-constructivist,"constructivist style {prompt} . geometric shapes, bold colors, dynamic composition, propaganda art style","realistic, photorealistic, low contrast, plain, simple, abstract expressionism","A constructivist style illustration of an {prompt}, geometric shapes, bold colors, dynamic composition, evoking the propaganda art style.","Picture a constructivist style illustration of an {prompt}, where geometric shapes and bold colors come together in a dynamic, avant-garde composition. The {prompt} is rendered with sharp angles and clean lines, embodying the revolutionary spirit of the Constructivist movement. The colors are striking and vivid, often primary, creating a strong visual impact. The composition is energetic and asymmetrical, reflecting the movement's focus on abstraction and functionality. This style is more than an artistic expression; it's a political statement, a reflection of a time when art was not just seen but used as a tool for social change. The {prompt} is transformed into a symbol of innovation and industrial progress, a testament to the power of art as a catalyst for transformation."
artstyle-cubist,"cubist artwork {prompt} . geometric shapes, abstract, innovative, revolutionary","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy","A cubist artwork of an {prompt}, using geometric shapes, abstract forms, innovative, revolutionary in design and concept.","Visualize a cubist artwork of an {prompt}, where the traditional perspective is deconstructed into an abstract, geometric form. The {prompt} is broken down and reassembled in a way that challenges the viewer's perception, playing with dimension and viewpoint. The colors are often muted, with an emphasis on the interplay of shapes and lines. The composition is a puzzle of fragmented parts, each contributing to a larger, more complex image. This style is not just about breaking the rules of art; it's about reimagining them. The {prompt} becomes a part of a visual experiment, where form and content are dissected and rearranged to create a new, intriguing reality."
artstyle-expressionist,"expressionist {prompt} . raw, emotional, dynamic, distortion for emotional effect, vibrant, use of unusual colors, detailed","realism, symmetry, quiet, calm, photo","An expressionist artwork of an {prompt}, raw, emotional, dynamic, with distortion for emotional effect, vibrant colors, and unusual color usage, highly detailed.","Imagine an expressionist artwork of an {prompt}, where the raw, unfiltered emotions of the artist are vividly conveyed through bold, vibrant colors and dynamic brushstrokes. The {prompt} is not just represented but transformed, its form distorted and exaggerated to evoke a deeper emotional response. The colors are intentionally jarring, chosen for their emotive power rather than their realism. The composition is intense and evocative, with a sense of urgency and movement that pulls the viewer into the artist's emotional world. This style is not about capturing reality; it's about expressing the inner turmoil, joy, or despair that the {prompt} symbolizes. It's a visceral, visual exploration of emotion, where the {prompt} becomes a conduit for the artist's most profound expressions."
artstyle-graffiti,"graffiti style {prompt} . street art, vibrant, urban, detailed, tag, mural","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic","A graffiti style artwork of an {prompt}, vibrant, urban, detailed, capturing the essence of street art, including tags and mural elements.","Envision a graffiti style artwork of an {prompt}, where the edgy, rebellious spirit of street art is encapsulated in vibrant, urban design. The {prompt} is depicted in bold, striking colors, with a style that is raw and unapologetically loud. The use of tags, murals, and spray-paint techniques gives the artwork a sense of authenticity and street credibility. The composition is dynamic and impactful, often incorporating elements of the urban landscape to contextualize the {prompt} within the culture of graffiti art. This style is about more than just visual appeal; it's a statement, a voice in the urban wilderness, turning the {prompt} into a symbol of creativity, resistance, and the indomitable spirit of street art."
artstyle-hyperrealism,"hyperrealistic art {prompt} . extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","simplified, abstract, unrealistic, impressionistic, low resolution","A hyperrealistic art piece of an {prompt}, extremely high-resolution details, photographic, pushing realism to the extreme, with fine texture and incredibly lifelike appearance.","Picture a hyperrealistic art piece of an {prompt}, where the boundary between art and reality is blurred. The {prompt} is rendered with such meticulous detail that it appears more real than reality itself. Every texture, shadow, and highlight is captured with photographic precision, creating an illusion of depth and tangibility. The colors are true to life, and the composition is carefully crafted to enhance the realism of the piece. This style is about pushing the limits of artistic skill, challenging the viewer's perception of what is real and what is art. The {prompt} is not just depicted; it's reborn on the canvas, a testament to the artist's ability to mimic reality in its most minute and beautiful details."
artstyle-impressionist,"impressionist painting {prompt} . loose brushwork, vibrant color, light and shadow play, captures feeling over form","anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy","An impressionist painting of an {prompt}, with loose brushwork, vibrant colors, capturing light and shadow play, conveying feeling over form.","Envision an impressionist painting of an {prompt}, where the focus is on capturing the essence of the subject through light, color, and brushwork. The {prompt} is portrayed not with precise detail but with loose, fluid strokes that convey a sense of movement and spontaneity. The colors are bright and luminous, applied in a way that captures the fleeting effects of light and atmosphere. The composition is open and airy, with a focus on how the {prompt} interacts with its surroundings. This style is about capturing a moment in time, a glimpse of the world as seen through the artist's eyes. It's a celebration of light and color, where the {prompt} is part of a larger, ever-changing tapestry of life."
artstyle-pointillism,"pointillism style {prompt} . composed entirely of small, distinct dots of color, vibrant, highly detailed","line drawing, smooth shading, large color fields, simplistic","A pointillism style artwork of an {prompt}, composed entirely of small, distinct dots of color, vibrant, and highly detailed.","Imagine a pointillism style artwork of an {prompt}, where tiny, distinct dots of color come together to form an intricate, vibrant image. Each dot contributes to the overall picture, creating a sense of depth and texture that is both detailed and abstract from a distance. The colors blend and merge when viewed from afar, yet each dot is a separate, deliberate stroke up close. This technique results in a unique visual texture that is both tactile and visually stimulating. The {prompt}, though comprised of individual dots, appears as a cohesive, dynamic entity, inviting the viewer to step closer and explore the meticulous craftsmanship that defines pointillism. This style celebrates the painstaking detail and patience required to create a complex, mesmerizing image from the simplest of elements."
